3254					people-approxandwith-alcohol	58.9597230154			581
3254							gurgaon-two-people-approxandwith	32.7554016752	581
3254							delhi-two-people-approxandwith	32.7554016752	581
3254	num	32.7148082783							581
3254			two-people	26.3905732962					581
3254					gurgaon-two-people	25.8239298696			581
3254	alcohol	24.6997606075							581
3254			gurgaon-two	22.3581939668					581
3254	cocktail	21.2528303372							581
3254	rum	20.9701259149							581
4140	diplomacy	124.470526366							478
4140			culinary-diplomacy	111.368365696					478
4140	culinary	49.5294009804							478
4140	nation	27.6310211159							478
4140	korea	17.5737994635							478
4140	friendship	14.8249272678							478
4140	chef	13.5517187274							478
4140	said	13.3993966207							478
4140					concept-culinary-diplomacy	13.1021606701			478
4140					public-culinary-diplomacy	13.1021606701			478
4140	bragard	13.1021606701							478
4140			public-culinary	13.1021606701					478
4140			south-korea	13.1021606701					478
4140			diplomacy-used	13.1021606701					478
4140			concept-culinary	13.1021606701					478
3558			hollandaise-sauce	11.715866309					27
3558	hollandaise	10.9049360928							27
3558			celery-finger	6.55108033504					27
3558			carrot-celery	6.55108033504					27
3558			finger-one	6.55108033504					27
3558			dip-carrot	6.55108033504					27
3558			one-keep	6.55108033504					27
3558			sauce-warm	6.55108033504					27
3558			even-dip	6.55108033504					27
3558			dream-breakfast	6.55108033504					27
3558			sauce-stuff	6.55108033504					27
3558			emulsion-clarified	6.55108033504					27
3558			perfectly-steamed	6.55108033504					27
3558			juice-sauce	6.55108033504					27
3558			french-hollandaise	6.55108033504					27
3722			check-recipe	52.4086426803					257
3722	chutney	31.4310564278							257
3722	check	17.057917818							257
3722	recipe	13.5688969631							257
3722					meal-check-recipe	13.1021606701			257
3722			meal-check	13.1021606701					257
3722	pachadi	10.9049360928							257
3722			chutney-taste	10.9049360928					257
3722	raita	9.51864173163							257
3722	meal	9.23980202732							257
3722	tangy	9.07415943128							257
3722			taste-bud	8.74048252595					257
3722	bud	8.66255606674							257
3722	spice	8.38693215516							257
3722	kick	7.97226195516							257
3993	costume	17.5737994635							199
3993	aslam	15.4943579218							199
3993	costumed	13.1021606701							199
3993			haveli-5	13.1021606701					199
3993					haveli-5-going	13.1021606701			199
3993			5-going	13.1021606701					199
3993					delhi-food-walk	10.6660441845			199
3993			food-walk	10.3801136451					199
3993			aslam-chicken	10.3295719478					199
3993			delhi-food	10.2467583573					199
3993			shahi-tukda	9.88328484522					199
3993	tukda	9.88328484522							199
3993	lined	8.70771151541							199
3993	haveli	8.70771151541							199
3993					photo-courtesy-pixabay	8.30067210338			199
2858	parsi	74.7573311204							483
2858			parsi-food	27.2623402319					483
2858	soda	26.4494412896							483
2858			usually-served	26.2043213402					483
2858	paatra	26.2043213402							483
2858	egg	26.1436237166							483
2858	dhansak	21.8098721855							483
2858	custard	21.7692787885							483
2858	vegetarian	19.7493435752							483
2858	eeda	19.6532410051							483
2858	eedu	19.6532410051							483
2858			par-eedu	19.6532410051					483
2858	pallonji	19.6532410051							483
2858			paatra-paneer	19.6532410051					483
2858			vegetable-kebab	19.6532410051					483
2912			hear-rustle	6.55108033504					30
2912			season-delicious	6.55108033504					30
2912			dry-golden	6.55108033504					30
2912			sweet-smell	6.55108033504					30
2912			autumnal-leaf	6.55108033504					30
2912			beautiful-season	6.55108033504					30
2912			air-here	6.55108033504					30
2912			spice-air	6.55108033504					30
2912			smell-warm	6.55108033504					30
2912			pass-almost	6.55108033504					30
2912			here-enjoy	6.55108033504					30
2912			delicious-silky	6.55108033504					30
2912			day-pass	6.55108033504					30
2912			regular-treat	6.55108033504					30
2912			favorite-pumpkin	6.55108033504					30
2919	pasta	70.1955886445							258
2919			making-pasta	26.2043213402					258
2919	shape	22.6709496768							258
2919			pasta-shape	19.6532410051					258
2919	flour	15.5854656528							258
2919					making-pasta-home	13.1021606701			258
2919			sheet-pasta	13.1021606701					258
2919			pasta-home	13.1021606701					258
2919	orecchiette	13.1021606701							258
2919			behind-name	13.1021606701					258
2919	#eatextra	12.0988792417							258
2919	tube	11.715866309							258
2919	sauce	9.98601721721							258
2919	making	9.83055269584							258
2919	meaning	8.94327758673							258
5180			date-dec	85.1640443556					498
5180	dec	49.9593917412							498
5180	festival	47.533861303							498
5180	christmas	45.3707971564							498
5180	date	36.9468026146							498
5180					date-dec-10	32.7554016752			498
5180			christmas-festival	29.2896657724					498
5180			dec-10	27.2623402319					498
5180							date-dec-10-11	26.2043213402	498
5180					dec-10-11	26.2043213402			498
5180	edition	22.2864915354							498
5180			10-11	21.8098721855					498
5180			kid-christmas	19.6532410051					498
5180			17-18	19.6532410051					498
5180							date-dec-17-18	19.6532410051	498
6099	bicycle	52.4086426803							162
6099			ciclo-cafe	45.8575623453					162
6099	ciclo	45.8575623453							162
6099	cycle	35.1475989269							162
6099	cafe	20.3886008535							162
6099			bicycle-market	13.1021606701					162
6099			ti-cycle	13.1021606701					162
6099			cafe-bicycle	13.1021606701					162
6099	cycling	13.1021606701							162
6099					ciclo-cafe-bicycle	13.1021606701			162
6099	schoolgoing	13.1021606701							162
6099			cycle-range	13.1021606701					162
6099			bicycle-cafe	13.1021606701					162
6099	chennai	11.9583929327							162
6099			cafe-soon	11.715866309					162
3335	pdt	35.0655789732							294
3335	#mirrorcake	29.2896657724							294
3335	mirror	24.708212113							294
3335			mirror-cake	21.8098721855					294
3335							noskova-🇷🇺-Ольга-Носкова	19.6532410051	294
3335			Ольга-Носкова	19.6532410051					294
3335	@olganoskovaa	19.6532410051							294
3335					noskova-🇷🇺-Ольга	19.6532410051			294
3335					Ольга-Носкова-@olganoskovaa	19.6532410051			294
3335							🇷🇺-Ольга-Носкова-@olganoskovaa	19.6532410051	294
3335	Носкова	19.6532410051							294
3335					🇷🇺-Ольга-Носкова	19.6532410051			294
3335			noskova-🇷🇺	19.6532410051					294
3335	#pastry_inspiration	19.6532410051							294
3335	noskova	19.6532410051							294
7042			junk-food	32.7148082783					239
7042	tax	31.3014715535							239
7042	junk	29.6498545357							239
7042			fat-tax	26.2043213402					239
7042	overweight	19.6532410051							239
7042	government	18.0332067794							239
7042	diseas	17.8865551735							239
7042	obesity	17.5737994635							239
7042	proposal	17.5737994635							239
7042	fat	16.4649189851							239
7042	children	14.8714679639							239
7042	group	14.3110044046							239
7042	consumption	13.815510558							239
7042	health	13.401553329							239
7042			consumption-junk	13.1021606701					239
6842			mashed-potato	49.188026727					196
6842	mashed	49.188026727							196
6842	potato	25.9756815232							196
6842			potato-recipe	19.6532410051					196
6842					mashed-potato-recipe	19.6532410051			196
6842	ball	13.6623444765							196
6842					scoop-mashed-potato	13.1021606701			196
6842			scoop-mashed	13.1021606701					196
6842			crispy-golden	13.1021606701					196
6842	lightly	13.0615672731							196
6842	bacon	12.8755032995							196
6842	egg	11.8834653257							196
6842	scoop	11.3354748384							196
6842	beaten	10.9049360928							196
6842			leftover-food	10.9049360928					196
7127			pumpkin-soup	11.715866309					33
7127	pumpkin	11.153600973							33
7127			old-kaddus	6.55108033504					33
7127							easy-pumpkin-soup-recipe	6.55108033504	33
7127			delicious-easy	6.55108033504					33
7127	kaddus	6.55108033504							33
